,kohde,jasen,pvknro,sp,ASALUE,IKAL1,A1,A2,A3,A4,A5,IKAL1_group
390,51101,1,2,1,2.0,62,110,540,0,96,2.0,7
393,51116,1,1,1,3.0,54,630,545,30,0,2.0,6
394,51116,1,2,1,3.0,54,340,595,0,0,2.0,6
395,51117,2,1,2,1.0,27,0,360,0,0,2.0,4
396,51117,2,2,2,1.0,27,0,350,0,156,2.0,4
397,51125,2,1,1,1.0,23,0,490,0,0,1.0,3
398,51125,2,2,1,1.0,23,0,540,0,0,1.0,3
399,51128,1,1,1,1.0,55,0,420,70,70,1.0,7
400,51128,1,2,1,1.0,55,0,300,247,0,1.0,7
405,51137,1,1,2,1.0,48,0,410,100,110,1.0,6
406,51137,1,2,2,1.0,48,0,500,124,0,1.0,6
407,51144,1,1,1,1.0,64,0,500,20,0,1.0,7
408,51144,1,2,1,1.0,64,430,420,0,0,1.0,7
411,51148,2,1,2,2.0,46,60,400,60,0,2.0,6
412,51148,2,2,2,2.0,46,160,370,0,120,2.0,6
413,51152,1,1,1,1.0,24,0,640,50,0,1.0,3
414,51152,1,2,1,1.0,24,450,550,0,108,1.0,3
415,51157,1,1,1,1.0,53,510,370,110,0,1.0,6
416,51157,1,2,1,1.0,53,0,650,134,0,1.0,6
417,51182,2,1,2,1.0,57,0,540,30,0,1.0,7
418,51182,2,2,2,1.0,57,0,630,31,0,1.0,7
421,51191,2,1,1,1.0,48,600,430,0,80,2.0,6
422,51191,2,2,1,1.0,48,0,380,41,0,2.0,6
423,51192,2,1,1,1.0,62,510,460,0,70,2.0,7
424,51192,2,2,1,1.0,62,180,470,0,108,2.0,7
425,51194,1,1,2,1.0,47,460,450,40,90,1.0,6
426,51194,1,2,2,1.0,47,0,410,82,0,1.0,6
429,51199,1,1,2,2.0,33,0,520,0,0,1.0,4
430,51199,1,2,2,2.0,33,0,500,0,0,1.0,4
431,51212,1,1,1,1.0,75,0,540,30,0,2.0,9
432,51212,1,2,1,1.0,75,0,520,31,0,2.0,9
433,51217,1,1,2,1.0,60,0,590,0,70,2.0,7
434,51217,1,2,2,1.0,60,0,510,0,0,2.0,7
435,51218,1,1,1,1.0,45,0,680,30,0,1.0,6
436,51218,1,2,1,1.0,45,420,420,72,0,1.0,6
437,51219,2,1,2,1.0,59,0,470,10,0,1.0,7
438,51219,2,2,2,1.0,59,40,450,21,0,1.0,7
439,51224,1,1,2,1.0,30,120,600,0,0,1.0,4
440,51224,1,2,2,1.0,30,0,600,0,0,1.0,4
442,51238,1,1,2,1.0,23,0,580,110,100,1.0,3
443,51238,1,2,2,1.0,23,0,590,31,144,1.0,3
444,51239,2,1,1,1.0,60,0,680,180,100,1.0,7
445,51239,2,2,1,1.0,60,0,590,103,216,1.0,7
446,51243,1,1,2,1.0,55,0,530,40,0,2.0,7
447,51243,1,2,2,1.0,55,0,290,41,0,2.0,7
448,51249,1,1,2,1.0,81,0,600,90,0,2.0,9
449,51249,1,2,2,1.0,81,0,640,124,96,2.0,9
450,51254,1,1,1,1.0,48,0,530,0,90,1.0,6
451,51254,1,2,1,1.0,48,500,460,0,132,1.0,6
454,51259,1,1,1,1.0,26,0,660,0,0,1.0,4
455,51259,1,2,1,1.0,26,480,580,0,0,1.0,4
458,51272,2,1,1,3.0,63,0,385,260,100,2.0,7
459,51272,2,2,1,3.0,63,0,635,134,204,2.0,7
460,51280,1,1,1,1.0,71,0,450,70,0,2.0,8
461,51280,1,2,1,1.0,71,0,440,82,168,2.0,8
462,51283,1,1,1,1.0,68,0,540,40,0,1.0,8
463,51283,1,2,1,1.0,68,0,600,206,0,1.0,8
466,51294,2,1,2,3.0,52,480,475,0,0,2.0,6
467,51294,2,2,2,3.0,52,300,445,10,96,2.0,6
468,51296,1,1,2,1.0,32,0,360,0,150,1.0,4
469,51296,1,2,2,1.0,32,0,780,41,0,1.0,4
470,51299,2,1,2,3.0,37,0,625,40,120,1.0,5
471,51299,2,2,2,3.0,37,450,445,0,108,1.0,5
472,51303,1,1,1,2.0,72,0,360,60,0,2.0,8
473,51303,1,2,1,2.0,72,0,510,52,0,2.0,8
474,51310,1,1,2,1.0,58,0,420,10,0,1.0,7
475,51310,1,2,2,1.0,58,0,420,72,0,1.0,7
476,51315,1,1,2,1.0,22,0,550,40,0,1.0,3
477,51315,1,2,2,1.0,22,0,530,0,84,1.0,3
478,51316,1,1,2,2.0,45,220,330,10,100,1.0,6
